"","polviews","race"
"28833","Slightly Conservative","White"
"28834","Extrmly Conservative","White"
"28835","Liberal","White"
"28836","Moderate","White"
"28837","Slightly Liberal","Other"
"28838","Moderate","Black"
"28839","Liberal","White"
"28840","Slightly Liberal","White"
"28841","Slightly Liberal","White"
"28842","Liberal","White"
"28843","Slightly Liberal","White"
"28844","Liberal","White"
"28845","Liberal","White"
"28846","Slightly Conservative","White"
"28847","Moderate","White"
"28848","Liberal","White"
"28849","Slightly Liberal","White"
"28850","Moderate","White"
"28851","Liberal","White"
"28852","Moderate","White"
"28853","Moderate","White"
"28854","Slightly Conservative","White"
"28855","Extremely Liberal","Other"
"28856","Liberal","White"
"28857","Slightly Liberal","White"
"28858","Liberal","White"
"28859","Liberal","White"
"28860","Moderate","White"
"28861","Conservative","White"
"28862","Slightly Liberal","White"
"28863","Moderate","White"
"28864","Slightly Liberal","White"
"28865","Moderate","White"
"28866","Moderate","White"
"28867","Liberal","White"
"28868","Slightly Conservative","White"
"28869","Liberal","White"
"28870","Moderate","White"
"28871","Moderate","White"
"28872","Moderate","White"
"28873","Slightly Conservative","White"
"28874","Moderate","White"
"28875","Moderate","White"
"28876","Liberal","White"
"28877","Slightly Liberal","White"
"28879","Moderate","White"
"28880","Moderate","White"
"28881","Moderate","White"
"28882","Moderate","White"
"28883","Slightly Liberal","White"
"28884","Slightly Liberal","White"
"28885","Moderate","White"
"28886","Slightly Conservative","White"
"28887","Liberal","Other"
"28888","Moderate","White"
"28889","Moderate","White"
"28890","Moderate","White"
"28891","Moderate","White"
"28892","Conservative","White"
"28893","Moderate","White"
"28894","Conservative","Other"
"28895","Slightly Liberal","Black"
"28896","Moderate","Black"
"28897","Moderate","White"
"28898","Conservative","White"
"28899","Moderate","White"
"28900","Slightly Conservative","White"
"28902","Slightly Conservative","White"
"28903","Slightly Liberal","White"
"28904","Slightly Conservative","White"
"28905","Slightly Conservative","White"
"28906","Slightly Liberal","White"
"28907","Moderate","White"
"28908","Slightly Liberal","White"
"28909","Slightly Conservative","White"
"28910","Moderate","White"
"28911","Slightly Liberal","White"
"28913","Conservative","White"
"28914","Liberal","White"
"28915","Moderate","Other"
"28916","Conservative","White"
"28917","Moderate","White"
"28918","Moderate","White"
"28919","Moderate","White"
"28920","Slightly Liberal","White"
"28921","Moderate","White"
"28922","Liberal","White"
"28923","Moderate","White"
"28924","Liberal","White"
"28925","Moderate","White"
"28926","Slightly Conservative","White"
"28927","Moderate","White"
"28928","Moderate","White"
"28929","Extrmly Conservative","White"
"28930","Conservative","White"
"28931","Slightly Liberal","White"
"28932","Moderate","White"
"28933","Moderate","White"
"28934","Slightly Conservative","White"
"28935","Moderate","White"
"28936","Moderate","White"
"28937","Moderate","White"
"28938","Moderate","Black"
"28939","Conservative","White"
"28940","Moderate","White"
"28941","Moderate","White"
"28942","Conservative","White"
"28943","Moderate","White"
"28944","Moderate","White"
"28945","Moderate","White"
"28946","Moderate","White"
"28947","Slightly Conservative","White"
"28948","Slightly Conservative","White"
"28949","Extrmly Conservative","White"
"28950","Conservative","White"
"28951","Conservative","White"
"28952","Moderate","White"
"28953","Moderate","Black"
"28954","Moderate","White"
"28955","Liberal","White"
"28956","Conservative","White"
"28957","Moderate","White"
"28958","Conservative","White"
"28959","Conservative","White"
"28960","Liberal","White"
"28961","Moderate","White"
"28962","Moderate","White"
"28963","Slightly Conservative","White"
"28964","Moderate","White"
"28965","Moderate","White"
"28966","Moderate","White"
"28967","Moderate","White"
"28968","Liberal","White"
"28969","Slightly Liberal","White"
"28970","Extrmly Conservative","White"
"28971","Moderate","White"
"28972","Conservative","White"
"28973","Slightly Liberal","White"
"28975","Conservative","White"
"28976","Slightly Liberal","White"
"28977","Moderate","White"
"28979","Slightly Conservative","White"
"28981","Moderate","White"
"28984","Moderate","White"
"28985","Conservative","White"
"28986","Conservative","White"
"28987","Slightly Liberal","White"
"28988","Conservative","White"
"28989","Slightly Liberal","White"
"28990","Slightly Liberal","White"
"28991","Slightly Conservative","White"
"28992","Moderate","White"
"28993","Slightly Liberal","White"
"28994","Moderate","White"
"28995","Moderate","Black"
"28996","Liberal","Black"
"28997","Slightly Conservative","Black"
"28998","Slightly Liberal","Black"
"28999","Moderate","Black"
"29000","Conservative","White"
"29001","Slightly Conservative","White"
"29002","Conservative","White"
"29003","Moderate","White"
"29004","Slightly Liberal","White"
"29005","Moderate","White"
"29006","Liberal","White"
"29008","Slightly Conservative","White"
"29009","Slightly Conservative","White"
"29010","Conservative","White"
"29011","Conservative","White"
"29012","Slightly Conservative","White"
"29013","Moderate","White"
"29014","Moderate","White"
"29015","Slightly Liberal","White"
"29016","Conservative","White"
"29017","Slightly Conservative","White"
"29018","Moderate","Black"
"29019","Moderate","White"
"29020","Moderate","White"
"29021","Moderate","White"
"29022","Extremely Liberal","White"
"29023","Slightly Conservative","White"
"29024","Extrmly Conservative","White"
"29025","Moderate","Black"
"29026","Slightly Conservative","White"
"29027","Moderate","White"
"29028","Moderate","White"
"29029","Moderate","White"
"29030","Conservative","White"
"29031","Conservative","White"
"29032","Slightly Conservative","White"
"29033","Conservative","White"
"29034","Moderate","White"
"29035","Moderate","Black"
"29036","Moderate","White"
"29037","Slightly Conservative","White"
"29038","Slightly Conservative","White"
"29040","Liberal","Other"
"29041","Moderate","White"
"29042","Moderate","White"
"29043","Moderate","Black"
"29044","Moderate","White"
"29045","Slightly Liberal","White"
"29046","Conservative","White"
"29047","Conservative","White"
"29048","Moderate","White"
"29049","Moderate","White"
"29050","Moderate","Black"
"29051","Liberal","White"
"29052","Moderate","Black"
"29053","Slightly Liberal","Black"
"29054","Moderate","Black"
"29055","Slightly Conservative","Black"
"29056","Liberal","White"
"29057","Liberal","White"
"29058","Liberal","White"
"29059","Liberal","White"
"29060","Moderate","White"
"29062","Slightly Liberal","White"
"29063","Moderate","White"
"29064","Liberal","White"
"29065","Slightly Liberal","White"
"29066","Moderate","White"
"29067","Conservative","White"
"29068","Moderate","Black"
"29069","Moderate","White"
"29070","Moderate","Black"
"29071","Moderate","White"
"29072","Moderate","White"
"29073","Extrmly Conservative","White"
"29074","Moderate","White"
"29075","Conservative","White"
"29076","Conservative","White"
"29077","Slightly Conservative","White"
"29078","Slightly Conservative","White"
"29079","Moderate","White"
"29080","Extrmly Conservative","White"
"29081","Conservative","White"
"29082","Extrmly Conservative","White"
"29083","Moderate","White"
"29084","Extremely Liberal","White"
"29085","Moderate","White"
"29086","Moderate","White"
"29087","Conservative","White"
"29088","Slightly Liberal","White"
"29089","Liberal","White"
"29090","Conservative","White"
"29091","Moderate","White"
"29092","Liberal","White"
"29093","Moderate","White"
"29094","Conservative","White"
"29095","Moderate","White"
"29096","Moderate","White"
"29097","Moderate","White"
"29098","Moderate","White"
"29099","Extrmly Conservative","White"
"29100","Conservative","White"
"29101","Moderate","White"
"29102","Moderate","White"
"29103","Moderate","White"
"29104","Moderate","White"
"29105","Conservative","White"
"29106","Moderate","White"
"29107","Moderate","White"
"29108","Slightly Conservative","White"
"29109","Moderate","White"
"29110","Conservative","White"
"29111","Moderate","White"
"29112","Conservative","White"
"29113","Moderate","White"
"29114","Conservative","White"
"29115","Slightly Conservative","White"
"29116","Liberal","White"
"29117","Slightly Conservative","White"
"29118","Slightly Liberal","White"
"29119","Moderate","White"
"29122","Slightly Conservative","White"
"29123","Moderate","Black"
"29124","Extrmly Conservative","Black"
"29126","Moderate","White"
"29127","Moderate","White"
"29128","Moderate","Black"
"29129","Extremely Liberal","White"
"29130","Liberal","White"
"29131","Moderate","White"
"29132","Conservative","White"
"29133","Slightly Liberal","White"
"29134","Extrmly Conservative","Black"
"29135","Moderate","White"
"29136","Slightly Liberal","White"
"29137","Liberal","Black"
"29138","Slightly Liberal","Other"
"29139","Slightly Liberal","Black"
"29140","Moderate","White"
"29141","Moderate","White"
"29142","Moderate","White"
"29143","Extremely Liberal","White"
"29144","Moderate","White"
"29145","Moderate","White"
"29146","Moderate","White"
"29147","Slightly Conservative","White"
"29148","Slightly Conservative","White"
"29149","Moderate","White"
"29150","Conservative","White"
"29151","Slightly Conservative","White"
"29152","Slightly Conservative","White"
"29153","Slightly Conservative","White"
"29154","Moderate","Other"
"29155","Moderate","White"
"29156","Slightly Liberal","White"
"29157","Moderate","White"
"29158","Moderate","White"
"29159","Liberal","White"
"29160","Moderate","White"
"29161","Slightly Conservative","White"
"29162","Conservative","White"
"29163","Liberal","White"
"29165","Liberal","White"
"29166","Liberal","Other"
"29167","Slightly Liberal","White"
"29168","Moderate","White"
"29169","Moderate","White"
"29170","Conservative","White"
"29171","Slightly Conservative","White"
"29172","Moderate","White"
"29173","Slightly Conservative","White"
"29174","Liberal","White"
"29175","Conservative","White"
"29176","Slightly Liberal","White"
"29177","Moderate","White"
"29179","Moderate","White"
"29180","Liberal","White"
"29181","Slightly Liberal","White"
"29182","Moderate","White"
"29183","Moderate","White"
"29184","Moderate","White"
"29185","Slightly Conservative","White"
"29186","Moderate","White"
"29187","Slightly Conservative","White"
"29188","Moderate","White"
"29190","Conservative","White"
"29191","Conservative","White"
"29192","Slightly Conservative","White"
"29193","Slightly Conservative","White"
"29194","Moderate","White"
"29195","Slightly Conservative","White"
"29196","Conservative","White"
"29197","Conservative","White"
"29198","Liberal","White"
"29199","Liberal","White"
"29200","Slightly Liberal","White"
"29201","Moderate","White"
"29202","Moderate","White"
"29203","Slightly Conservative","White"
"29204","Extrmly Conservative","White"
"29205","Slightly Liberal","White"
"29206","Moderate","White"
"29207","Slightly Liberal","White"
"29208","Moderate","White"
"29209","Slightly Conservative","White"
"29210","Extremely Liberal","White"
"29211","Moderate","White"
"29212","Moderate","White"
"29213","Moderate","White"
"29214","Conservative","White"
"29215","Moderate","White"
"29216","Moderate","White"
"29217","Moderate","White"
"29218","Conservative","White"
"29219","Moderate","White"
"29220","Moderate","White"
"29221","Moderate","White"
"29222","Moderate","White"
"29223","Conservative","White"
"29224","Liberal","White"
"29225","Slightly Liberal","White"
"29226","Moderate","White"
"29227","Moderate","White"
"29228","Conservative","White"
"29229","Conservative","White"
"29230","Conservative","White"
"29231","Conservative","White"
"29232","Liberal","White"
"29233","Moderate","White"
"29234","Conservative","White"
"29235","Moderate","White"
"29236","Slightly Conservative","White"
"29237","Moderate","White"
"29238","Conservative","Other"
"29239","Liberal","Other"
"29240","Moderate","White"
"29241","Slightly Liberal","Other"
"29242","Moderate","Black"
"29243","Slightly Conservative","White"
"29244","Moderate","White"
"29245","Slightly Liberal","White"
"29246","Moderate","White"
"29247","Slightly Conservative","White"
"29248","Slightly Conservative","White"
"29249","Moderate","White"
"29250","Slightly Conservative","White"
"29251","Slightly Liberal","White"
"29252","Moderate","White"
"29253","Moderate","White"
"29254","Moderate","Other"
"29255","Moderate","White"
"29256","Slightly Conservative","White"
"29257","Conservative","White"
"29258","Slightly Conservative","White"
"29259","Slightly Conservative","White"
"29260","Conservative","White"
"29261","Conservative","White"
"29262","Moderate","White"
"29263","Moderate","White"
"29264","Moderate","White"
"29265","Slightly Conservative","White"
"29266","Conservative","White"
"29267","Moderate","White"
"29268","Moderate","White"
"29269","Moderate","White"
"29270","Moderate","White"
"29271","Moderate","White"
"29272","Moderate","White"
"29273","Slightly Conservative","White"
"29274","Liberal","Black"
"29275","Slightly Conservative","Black"
"29276","Moderate","Black"
"29277","Moderate","Black"
"29278","Moderate","Black"
"29279","Moderate","White"
"29280","Moderate","White"
"29281","Moderate","White"
"29282","Liberal","White"
"29283","Liberal","White"
"29284","Liberal","White"
"29285","Slightly Conservative","White"
"29286","Slightly Conservative","White"
"29287","Moderate","White"
"29288","Moderate","White"
"29289","Moderate","White"
"29290","Moderate","White"
"29291","Liberal","White"
"29292","Moderate","White"
"29293","Moderate","Black"
"29294","Slightly Conservative","White"
"29295","Liberal","White"
"29296","Moderate","White"
"29297","Moderate","White"
"29299","Moderate","White"
"29300","Extrmly Conservative","White"
"29301","Moderate","White"
"29302","Moderate","White"
"29303","Slightly Conservative","White"
"29304","Slightly Liberal","White"
"29305","Slightly Conservative","White"
"29306","Moderate","White"
"29307","Slightly Conservative","Black"
"29308","Conservative","White"
"29309","Moderate","White"
"29310","Conservative","Black"
"29311","Moderate","White"
"29312","Liberal","Black"
"29313","Conservative","Black"
"29314","Moderate","Black"
"29315","Slightly Conservative","Black"
"29316","Moderate","White"
"29317","Slightly Conservative","White"
"29318","Extremely Liberal","Black"
"29319","Moderate","White"
"29320","Extremely Liberal","Black"
"29321","Slightly Liberal","Black"
"29322","Slightly Liberal","Black"
"29323","Moderate","White"
"29324","Conservative","White"
"29325","Conservative","White"
"29326","Moderate","White"
"29327","Extrmly Conservative","White"
"29328","Conservative","White"
"29329","Moderate","White"
"29330","Conservative","White"
"29331","Moderate","White"
"29332","Extrmly Conservative","White"
"29333","Moderate","White"
"29334","Moderate","White"
"29335","Moderate","White"
"29336","Conservative","Black"
"29337","Slightly Liberal","White"
"29338","Liberal","White"
"29339","Extrmly Conservative","White"
"29340","Moderate","Black"
"29341","Conservative","White"
"29342","Moderate","White"
"29343","Liberal","White"
"29344","Slightly Liberal","White"
"29345","Moderate","White"
"29346","Liberal","White"
"29347","Moderate","White"
"29348","Slightly Liberal","Black"
"29349","Slightly Conservative","White"
"29350","Liberal","White"
"29351","Slightly Liberal","White"
"29352","Slightly Liberal","White"
"29353","Slightly Liberal","White"
"29354","Slightly Liberal","White"
"29355","Moderate","White"
"29356","Slightly Liberal","White"
"29357","Moderate","White"
"29358","Slightly Liberal","White"
"29359","Moderate","White"
"29360","Slightly Liberal","White"
"29361","Liberal","White"
"29362","Conservative","White"
"29363","Slightly Liberal","White"
"29364","Slightly Conservative","Other"
"29365","Slightly Liberal","White"
"29366","Conservative","White"
"29367","Conservative","White"
"29368","Moderate","White"
"29369","Moderate","White"
"29370","Moderate","White"
"29371","Conservative","White"
"29372","Liberal","White"
"29373","Moderate","White"
"29374","Slightly Conservative","White"
"29375","Extrmly Conservative","White"
"29376","Extremely Liberal","White"
"29377","Slightly Conservative","White"
"29378","Slightly Liberal","White"
"29379","Slightly Conservative","White"
"29380","Moderate","White"
"29381","Slightly Liberal","White"
"29382","Moderate","White"
"29383","Conservative","White"
"29384","Slightly Conservative","Black"
"29385","Conservative","White"
"29386","Conservative","White"
"29387","Slightly Conservative","White"
"29388","Slightly Conservative","White"
"29389","Slightly Liberal","Black"
"29390","Moderate","Black"
"29391","Slightly Conservative","Black"
"29392","Slightly Liberal","White"
"29393","Conservative","Black"
"29394","Liberal","Black"
"29395","Moderate","Other"
"29396","Conservative","Black"
"29397","Slightly Liberal","Black"
"29398","Moderate","Black"
"29399","Moderate","White"
"29400","Slightly Conservative","White"
"29401","Conservative","White"
"29402","Slightly Liberal","White"
"29403","Moderate","White"
"29404","Slightly Liberal","White"
"29405","Moderate","White"
"29406","Liberal","White"
"29407","Moderate","White"
"29408","Slightly Liberal","White"
"29409","Liberal","White"
"29410","Liberal","White"
"29411","Moderate","White"
"29412","Slightly Conservative","White"
"29413","Moderate","White"
"29414","Moderate","White"
"29418","Conservative","Black"
"29419","Moderate","Black"
"29420","Moderate","White"
"29422","Liberal","Black"
"29423","Liberal","White"
"29424","Moderate","White"
"29425","Moderate","White"
"29426","Extrmly Conservative","Other"
"29427","Slightly Liberal","White"
"29428","Conservative","White"
"29429","Slightly Conservative","White"
"29430","Extremely Liberal","White"
"29431","Liberal","White"
"29432","Liberal","White"
"29433","Extremely Liberal","White"
"29434","Liberal","White"
"29435","Conservative","Black"
"29436","Slightly Conservative","Black"
"29437","Moderate","Black"
"29438","Slightly Liberal","Black"
"29439","Liberal","Black"
"29440","Slightly Liberal","Black"
"29441","Slightly Conservative","Black"
"29442","Slightly Liberal","White"
"29443","Slightly Liberal","White"
"29444","Slightly Conservative","White"
"29445","Conservative","White"
"29446","Conservative","White"
"29447","Slightly Liberal","White"
"29448","Conservative","White"
"29449","Moderate","White"
"29450","Moderate","Black"
"29451","Moderate","Black"
"29452","Liberal","Black"
"29453","Moderate","Black"
"29454","Liberal","Black"
"29455","Liberal","Black"
"29456","Moderate","Black"
"29457","Moderate","Black"
"29458","Conservative","White"
"29459","Moderate","White"
"29460","Moderate","White"
"29461","Slightly Liberal","Other"
"29462","Conservative","Black"
"29463","Moderate","Black"
"29464","Liberal","Black"
"29465","Moderate","White"
"29466","Conservative","White"
"29467","Extremely Liberal","White"
"29468","Liberal","White"
"29469","Conservative","White"
"29470","Liberal","White"
"29471","Moderate","White"
"29472","Conservative","White"
"29473","Slightly Liberal","White"
"29474","Moderate","Black"
"29475","Slightly Conservative","White"
"29476","Liberal","White"
"29477","Slightly Liberal","White"
"29478","Moderate","White"
"29479","Slightly Liberal","White"
"29480","Extrmly Conservative","White"
"29481","Moderate","White"
"29482","Extrmly Conservative","White"
"29483","Extremely Liberal","White"
"29484","Slightly Conservative","Other"
"29485","Conservative","White"
"29486","Slightly Conservative","White"
"29487","Moderate","Other"
"29488","Liberal","Black"
"29489","Moderate","Black"
"29490","Moderate","Black"
"29491","Moderate","Black"
"29492","Slightly Conservative","Black"
"29493","Liberal","Black"
"29494","Conservative","White"
"29495","Moderate","Black"
"29496","Moderate","Black"
"29497","Slightly Conservative","Black"
"29498","Moderate","White"
"29499","Liberal","White"
"29500","Liberal","White"
"29501","Conservative","White"
"29502","Extremely Liberal","Black"
"29503","Liberal","Other"
"29504","Moderate","White"
"29505","Slightly Liberal","White"
"29506","Liberal","White"
"29507","Conservative","White"
"29508","Moderate","White"
"29509","Extrmly Conservative","White"
"29510","Liberal","White"
"29511","Slightly Conservative","Other"
"29512","Slightly Conservative","White"
"29513","Moderate","White"
"29514","Conservative","White"
"29515","Moderate","White"
"29516","Moderate","White"
"29517","Liberal","White"
"29518","Slightly Liberal","Black"
"29519","Liberal","Black"
"29520","Moderate","Black"
"29521","Slightly Liberal","Other"
"29522","Slightly Conservative","Black"
"29523","Moderate","Black"
"29524","Slightly Conservative","Black"
"29525","Moderate","White"
"29526","Moderate","White"
"29527","Slightly Liberal","White"
"29528","Moderate","Black"
"29529","Moderate","Black"
"29530","Moderate","White"
"29531","Slightly Conservative","Black"
"29532","Moderate","Black"
"29533","Slightly Liberal","Black"
"29534","Conservative","Black"
"29535","Moderate","Black"
"29536","Liberal","Black"
"29537","Moderate","Black"
"29538","Slightly Liberal","Black"
"29539","Slightly Conservative","White"
"29540","Slightly Liberal","White"
"29541","Moderate","White"
"29542","Moderate","White"
"29543","Moderate","White"
"29544","Moderate","White"
"29545","Moderate","White"
"29546","Conservative","White"
"29547","Slightly Liberal","White"
"29548","Slightly Conservative","White"
"29549","Moderate","White"
"29550","Slightly Conservative","Other"
"29551","Slightly Conservative","Other"
"29552","Slightly Conservative","Other"
"29553","Liberal","Black"
"29555","Moderate","White"
"29556","Extrmly Conservative","White"
"29557","Moderate","Black"
"29558","Conservative","White"
"29559","Slightly Conservative","White"
"29560","Moderate","White"
"29561","Moderate","White"
"29562","Extremely Liberal","White"
"29563","Conservative","White"
"29564","Moderate","White"
"29565","Conservative","White"
"29566","Liberal","White"
"29567","Extrmly Conservative","White"
"29568","Slightly Liberal","White"
"29569","Moderate","White"
"29570","Conservative","White"
"29571","Slightly Conservative","White"
"29572","Liberal","White"
"29573","Conservative","White"
"29574","Moderate","White"
"29575","Extremely Liberal","White"
"29576","Moderate","White"
"29577","Liberal","White"
"29578","Slightly Conservative","White"
"29579","Slightly Conservative","White"
"29580","Slightly Liberal","White"
"29581","Slightly Liberal","Other"
"29582","Moderate","Black"
"29583","Moderate","White"
"29584","Moderate","White"
"29585","Moderate","White"
"29586","Conservative","White"
"29587","Conservative","White"
"29588","Slightly Conservative","White"
"29589","Liberal","White"
"29590","Slightly Liberal","White"
"29591","Moderate","White"
"29592","Slightly Conservative","White"
"29593","Slightly Liberal","White"
"29594","Liberal","White"
"29595","Moderate","White"
"29596","Moderate","White"
"29597","Slightly Liberal","Other"
"29598","Slightly Conservative","White"
"29599","Moderate","White"
"29600","Liberal","White"
"29601","Moderate","White"
"29602","Moderate","White"
"29603","Conservative","White"
"29604","Conservative","White"
"29605","Slightly Conservative","White"
"29606","Slightly Liberal","White"
"29607","Moderate","White"
"29608","Liberal","White"
"29609","Slightly Conservative","White"
"29610","Extremely Liberal","White"
"29611","Liberal","White"
"29612","Moderate","Other"
"29613","Moderate","White"
"29614","Slightly Liberal","White"
"29615","Slightly Conservative","White"
"29616","Slightly Conservative","White"
"29617","Slightly Conservative","Black"
"29618","Moderate","Other"
"29619","Liberal","Other"
"29620","Slightly Liberal","White"
"29621","Liberal","White"
"29622","Moderate","Other"
"29623","Moderate","White"
"29624","Slightly Liberal","White"
"29625","Liberal","Other"
"29626","Liberal","White"
"29627","Moderate","White"
"29628","Moderate","Other"
"29629","Conservative","Other"
"29630","Slightly Liberal","White"
"29631","Moderate","Other"
"29633","Slightly Conservative","Other"
"29634","Moderate","White"
"29635","Slightly Conservative","White"
"29636","Liberal","Other"
"29637","Moderate","White"
"29638","Moderate","Black"
"29639","Slightly Conservative","White"
"29640","Extrmly Conservative","White"
"29641","Liberal","White"
"29642","Slightly Liberal","White"
"29643","Slightly Conservative","White"
"29644","Slightly Conservative","White"
"29645","Moderate","White"
"29646","Moderate","White"
"29647","Liberal","White"
"29648","Conservative","White"
"29649","Moderate","White"
"29650","Conservative","White"
"29651","Moderate","White"
"29652","Slightly Conservative","White"
"29653","Slightly Conservative","White"
"29654","Conservative","White"
"29655","Moderate","White"
"29656","Extremely Liberal","White"
"29657","Conservative","White"
"29658","Moderate","Other"
"29659","Moderate","Other"
"29660","Liberal","White"
"29661","Liberal","White"
"29662","Conservative","White"
"29663","Moderate","White"
"29664","Conservative","White"
"29665","Moderate","White"
"29666","Slightly Liberal","White"
"29667","Slightly Conservative","White"
"29668","Moderate","Other"
"29669","Liberal","Black"
"29670","Liberal","Other"
"29671","Moderate","White"
"29672","Extremely Liberal","White"
"29673","Liberal","White"
"29674","Moderate","White"
"29675","Moderate","Black"
"29677","Extrmly Conservative","White"
"29678","Liberal","White"
"29679","Conservative","White"
"29680","Moderate","White"
"29681","Extremely Liberal","Black"
"29682","Liberal","White"
"29683","Moderate","White"
"29684","Liberal","White"
"29685","Slightly Conservative","White"
"29686","Liberal","White"
"29687","Moderate","White"
"29688","Slightly Liberal","White"
"29689","Slightly Liberal","Other"
"29690","Extrmly Conservative","White"
"29691","Liberal","White"
"29692","Conservative","White"
"29693","Slightly Conservative","White"
"29694","Moderate","White"
"29695","Conservative","White"
"29696","Moderate","White"
"29697","Moderate","Black"
"29698","Moderate","White"
"29699","Moderate","White"
"29700","Conservative","White"
"29701","Slightly Liberal","Other"
"29702","Slightly Liberal","White"
"29703","Liberal","White"
"29704","Slightly Conservative","White"
"29705","Moderate","White"
"29706","Conservative","White"
"29708","Conservative","White"
"29709","Slightly Conservative","White"
"29710","Extrmly Conservative","White"
"29711","Conservative","White"
"29712","Conservative","White"
"29713","Moderate","White"
"29714","Slightly Conservative","White"
"29715","Extrmly Conservative","White"
"29716","Conservative","White"
"29717","Moderate","White"
"29718","Extremely Liberal","White"
"29719","Slightly Liberal","White"
"29720","Slightly Conservative","White"
"29721","Liberal","White"
"29722","Slightly Liberal","White"
"29723","Conservative","White"
"29724","Moderate","White"
"29725","Liberal","Black"
"29726","Liberal","Black"
"29727","Slightly Liberal","Black"
"29728","Moderate","Black"
"29729","Moderate","Black"
"29730","Moderate","Black"
"29731","Liberal","Black"
"29732","Conservative","Black"
"29733","Extremely Liberal","Black"
"29734","Liberal","Black"
"29735","Slightly Liberal","Black"
"29736","Moderate","Black"
"29737","Slightly Liberal","Black"
"29738","Slightly Liberal","Black"
"29739","Liberal","Black"
"29740","Moderate","Black"
"29741","Moderate","White"
"29743","Liberal","White"
"29744","Slightly Conservative","Black"
"29745","Moderate","White"
"29746","Conservative","White"
"29747","Slightly Conservative","White"
"29748","Moderate","White"
"29750","Slightly Conservative","White"
"29751","Moderate","White"
"29752","Liberal","White"
"29753","Moderate","Black"
"29754","Moderate","Black"
"29755","Slightly Liberal","White"
"29756","Slightly Conservative","White"
"29757","Slightly Conservative","White"
"29758","Liberal","Other"
"29759","Moderate","White"
"29760","Slightly Liberal","Other"
"29761","Slightly Conservative","White"
"29762","Slightly Liberal","White"
"29763","Slightly Conservative","Other"
"29764","Moderate","White"
"29765","Moderate","White"
"29766","Slightly Conservative","White"
"29767","Moderate","Other"
"29768","Moderate","White"
"29769","Slightly Conservative","White"
"29770","Moderate","White"
"29771","Moderate","White"
"29772","Moderate","White"
"29773","Extrmly Conservative","White"
"29774","Slightly Conservative","White"
"29775","Moderate","White"
"29776","Moderate","White"
"29777","Slightly Liberal","White"
"29778","Conservative","White"
"29779","Conservative","White"
"29780","Moderate","White"
"29781","Slightly Conservative","White"
"29782","Slightly Liberal","White"
"29783","Moderate","White"
"29784","Extrmly Conservative","White"
"29785","Slightly Liberal","White"
"29786","Slightly Conservative","White"
"29787","Moderate","Black"
"29788","Slightly Conservative","Black"
"29789","Moderate","Black"
"29790","Moderate","Black"
"29791","Conservative","Black"
"29792","Moderate","Black"
"29793","Conservative","Black"
"29795","Slightly Liberal","Black"
"29796","Moderate","Black"
"29797","Slightly Liberal","Black"
"29798","Slightly Liberal","Black"
"29799","Slightly Conservative","White"
"29800","Moderate","White"
"29801","Liberal","White"
"29802","Liberal","White"
"29803","Slightly Liberal","White"
"29804","Liberal","White"
"29805","Slightly Liberal","White"
"29806","Liberal","Black"
"29807","Slightly Liberal","Black"
"29808","Extremely Liberal","Black"
"29809","Moderate","Black"
"29810","Moderate","Other"
"29811","Slightly Liberal","Other"
"29812","Extremely Liberal","Black"
"29813","Moderate","Black"
"29814","Liberal","Other"
"29815","Slightly Liberal","Other"
"29816","Moderate","White"
"29817","Slightly Conservative","White"
"29818","Conservative","Other"
"29819","Moderate","White"
"29820","Slightly Liberal","White"
"29821","Slightly Conservative","White"
"29822","Moderate","White"
"29823","Extrmly Conservative","White"
"29824","Slightly Liberal","White"
"29825","Extremely Liberal","White"
"29826","Conservative","White"
"29827","Moderate","White"
"29828","Slightly Liberal","White"
"29829","Slightly Conservative","White"
"29830","Moderate","White"
"29831","Moderate","White"
"29832","Moderate","White"
"29833","Slightly Liberal","White"
"29834","Moderate","White"
"29835","Moderate","White"
"29836","Moderate","White"
"29837","Slightly Liberal","White"
"29838","Moderate","White"
"29839","Moderate","White"
"29840","Moderate","White"
"29841","Moderate","White"
"29842","Slightly Liberal","White"
"29843","Conservative","White"
"29844","Conservative","White"
"29845","Liberal","White"
"29847","Conservative","White"
"29848","Liberal","White"
"29849","Slightly Liberal","White"
"29850","Slightly Liberal","White"
"29851","Liberal","White"
"29852","Slightly Conservative","White"
"29854","Slightly Conservative","White"
"29855","Slightly Conservative","Other"
"29856","Moderate","White"
"29857","Conservative","Other"
"29858","Moderate","White"
"29859","Slightly Conservative","White"
"29860","Slightly Conservative","White"
"29861","Liberal","White"
"29862","Moderate","White"
"29863","Slightly Liberal","White"
"29864","Slightly Liberal","White"
"29865","Slightly Conservative","White"
"29866","Extremely Liberal","White"
"29867","Slightly Liberal","White"
"29868","Moderate","White"
"29869","Moderate","Other"
"29870","Slightly Liberal","White"
"29871","Liberal","White"
"29872","Slightly Liberal","White"
"29873","Conservative","White"
"29874","Slightly Conservative","White"
"29875","Conservative","White"
"29876","Extremely Liberal","White"
"29877","Slightly Liberal","White"
"29878","Moderate","White"
"29879","Extremely Liberal","White"
"29880","Moderate","White"
"29881","Moderate","White"
"29882","Moderate","White"
"29883","Slightly Liberal","White"
"29884","Liberal","White"
"29885","Moderate","White"
"29886","Moderate","White"
"29887","Slightly Liberal","White"
"29888","Conservative","White"
"29889","Slightly Liberal","White"
"29890","Moderate","White"
"29891","Conservative","White"
